Designator,Mid X,Mid Y,Rotation,Layer
C1,111.025,-64.45,180.0,top
C2,110.8,-63.02,90.0,top
C3,111.725,-63.02,90.0,top
D2,111.06,-70.85,90.0,top
D3,112.0,-70.85,90.0,top
R1,108.95,-64.24,270.0,top
R2,109.5,-70.79,90.0,top
R3,113.9,-76.7,90.0,top
R4,114.84,-76.7,90.0,top
R5,111.05,-68.95,90.0,top
R6,112.0,-68.95,90.0,top
SW1,110.5,-74.625,90.0,top
SW2,118.1,-74.625,270.0,top
U1,114.3,-64.31,270.0,top
Y1,116.1,-60.35,0.0,top
